epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1203.3,1.86401,2.8582,1.73749,0.30828,0.27326,0.21825,0.08861,2.05999,3.46153,2.15895,0.000662983,0.000662983,0.000662983
2,2432.73,2.01135,2.51638,1.89934,0.35146,0.22497,0.18177,0.06179,2.31163,3.61416,2.30099,0.00130332,0.00130332,0.00130332
3,3650.76,2.05029,2.37282,1.93694,0.35503,0.3192,0.22004,0.07698,2.26515,2.7309,2.19193,0.00191726,0.00191726,0.00191726
4,4897.9,2.01349,2.22966,1.88665,0.45573,0.40518,0.35278,0.12744,2.12577,2.35339,2.07976,0.0018812,0.0018812,0.0018812
5,6155.2,1.93011,2.07552,1.8443,0.54848,0.5265,0.52514,0.20795,1.94757,2.03131,1.95787,0.0018416,0.0018416,0.0018416
6,7386.44,1.9038,1.97992,1.80281,0.59355,0.5265,0.55715,0.25859,1.90899,1.82774,1.88169,0.001802,0.001802,0.001802
7,8591.49,1.84701,1.91068,1.78493,0.58605,0.45936,0.48506,0.20114,1.96513,2.09935,1.98722,0.0017624,0.0017624,0.0017624
8,9793.87,1.80896,1.80218,1.72936,0.61676,0.5689,0.60638,0.2798,1.84418,1.64349,1.83304,0.0017228,0.0017228,0.0017228
9,10993.7,1.78722,1.75356,1.70352,0.68072,0.63015,0.65613,0.29911,1.75791,1.67811,1.72521,0.0016832,0.0016832,0.0016832
10,12233.2,1.74315,1.66781,1.67378,0.71072,0.63954,0.69271,0.3247,1.7624,1.57031,1.74141,0.0016436,0.0016436,0.0016436
11,13503.9,1.70819,1.61134,1.64337,0.78083,0.62544,0.72863,0.34278,1.76024,1.45878,1.76728,0.001604,0.001604,0.001604
12,14782.7,1.68041,1.57091,1.63749,0.75214,0.62548,0.70967,0.34135,1.74203,1.48739,1.75244,0.0015644,0.0015644,0.0015644
13,16018,1.6568,1.51512,1.60872,0.78669,0.69965,0.7805,0.39367,1.66648,1.36184,1.6745,0.0015248,0.0015248,0.0015248
14,17212.3,1.64352,1.48375,1.58941,0.75335,0.64038,0.708,0.36186,1.73148,1.50722,1.701,0.0014852,0.0014852,0.0014852
15,18414.4,1.61021,1.42137,1.57648,0.78474,0.67609,0.7841,0.40474,1.65485,1.3045,1.65056,0.0014456,0.0014456,0.0014456
16,19620.9,1.61457,1.39399,1.57152,0.76314,0.68669,0.75466,0.37535,1.73889,1.39092,1.71625,0.001406,0.001406,0.001406
17,20878.1,1.59721,1.38363,1.56846,0.85423,0.71784,0.80923,0.41807,1.65661,1.26909,1.64646,0.0013664,0.0013664,0.0013664
18,22146.2,1.55988,1.32644,1.53214,0.83595,0.70554,0.79914,0.39923,1.68659,1.21559,1.66551,0.0013268,0.0013268,0.0013268
19,23409.1,1.55934,1.30761,1.53113,0.84698,0.72556,0.82048,0.44924,1.58985,1.15072,1.57949,0.0012872,0.0012872,0.0012872
20,24604.9,1.54493,1.28213,1.51044,0.82182,0.75854,0.83647,0.43888,1.62117,1.14512,1.61808,0.0012476,0.0012476,0.0012476
21,25803.7,1.54322,1.24486,1.51076,0.74925,0.70082,0.75735,0.39727,1.66987,1.25276,1.65349,0.001208,0.001208,0.001208
22,27007.3,1.53259,1.27576,1.522,0.83067,0.74323,0.82759,0.43909,1.6132,1.12335,1.60521,0.0011684,0.0011684,0.0011684
23,28205,1.51679,1.21786,1.49415,0.86925,0.74392,0.85977,0.45895,1.59928,1.05034,1.58868,0.0011288,0.0011288,0.0011288
24,29408.9,1.48886,1.19313,1.47904,0.86881,0.78327,0.86425,0.45894,1.58014,1.07806,1.56929,0.0010892,0.0010892,0.0010892
25,30615.8,1.49188,1.17281,1.46381,0.81649,0.78916,0.85018,0.46152,1.58081,1.053,1.57582,0.0010496,0.0010496,0.0010496
26,31808,1.47126,1.15712,1.44432,0.8554,0.80094,0.88672,0.48967,1.54887,0.98587,1.53031,0.00101,0.00101,0.00101
27,33050.5,1.44376,1.14633,1.43714,0.87838,0.78563,0.88119,0.48361,1.55704,0.99527,1.54106,0.0009704,0.0009704,0.0009704
28,34284.9,1.43269,1.11111,1.43751,0.87738,0.77503,0.8745,0.47405,1.57394,0.98978,1.56234,0.0009308,0.0009308,0.0009308
29,35497.3,1.43501,1.10805,1.43263,0.86039,0.79119,0.86899,0.47752,1.57438,0.96708,1.55658,0.0008912,0.0008912,0.0008912
30,36753.7,1.42994,1.08648,1.43523,0.87977,0.8102,0.89077,0.4953,1.53044,0.92469,1.50125,0.0008516,0.0008516,0.0008516
31,38001.4,1.39881,1.04382,1.40466,0.87831,0.82466,0.89675,0.49939,1.52358,0.94033,1.52356,0.000812,0.000812,0.000812
32,39209.2,1.38903,1.04272,1.40911,0.89856,0.8245,0.89755,0.50753,1.51353,0.92142,1.50455,0.0007724,0.0007724,0.0007724
